,RegionID,RegionName,SizeRank,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02
24,25,Louisiana,25,10.8589125976,10.3442389025,10.8363634105,12.2161007885,11.2481857217,11.1944993462,10.9240267713,10.9937676953,9.67537352576,10.8884237401,10.1166125701,10.5109768502,10.236747593,9.71460838927,9.98741564854,10.9524631914,9.8694521738,10.035774392,10.1124212146,9.39107794864,10.6650587255,10.7899282712,10.5595786381,10.6239472323,9.6407300664,10.4859340382,10.800111587,10.6256314897,10.3099690388,11.0756079441,10.7900257475,11.1800772906,11.301398316,11.0090269749,11.4446682104,12.283399672,11.6042851678,12.6109550594,11.124134526,11.9121263923,12.2289891823,11.8661055605,11.7878681436,11.6984118169,12.3615214242,11.599398089,12.8298502476,13.47563174,12.573577816,12.4719803218,12.0127582818,12.2763460569,12.0509814619,12.1862894987,12.2570698032,11.7170950486,11.9230840771,11.7579160047,12.2381151473,12.5327757069,12.5738260312,13.278217565,12.2138656709,12.4429455422,12.7252913257,12.395338316,12.5300282511,13.2354560059,12.7872852167,13.074372258,12.3133802599,12.201073695,11.487933198,10.310083185,13.4566027745,12.9189768269,14.1923748104,13.4608318206,14.8923062588,13.9104574517,14.8906959508,15.4854128736,15.8704822629,16.8780299918,16.6232883825,16.9050209278,16.2115309912,13.971838991,15.8240052368,16.4752281575
25,24,Kentucky,26,12.4804434533,11.9683511168,11.7179813079,12.2263375159,12.5461350189,12.8708523714,13.5483602036,13.5576213846,11.9067862478,13.4523111857,13.1405875267,12.5284256156,11.6944716693,11.0889771808,11.7677977656,12.1153759952,11.8264224889,12.3078427498,11.8570905924,11.3987774392,11.8848163114,11.6873037077,11.447392521,12.41349526,11.2481535856,11.242960459,10.9932556753,11.6487970755,12.8434715492,12.7981021057,12.3439289504,12.1049914124,13.2963772043,12.29384343,12.225918941,13.4742333519,12.5580879354,13.053891261,13.3782921728,12.7792844875,12.6395863418,12.1271369697,12.5405771159,13.3328054653,13.8354436344,13.593026792,14.6586478571,15.1964656148,14.2201299737,14.7080101227,12.7695963677,13.3113527947,13.7488119623,12.5654351108,12.0604930558,11.9755260104,13.0027064555,12.9781124732,13.516653777,13.014658544,13.0250474617,13.1256602147,12.3690669945,12.7702520109,11.2748061103,12.0318948038,11.7263543369,11.1248210076,10.439096432,11.7713946805,11.3798430007,12.7342434309,11.9262213767,10.7998060865,13.194016817,12.3505300307,12.8668226672,12.8128075323,12.3940483518,11.4741912967,12.1522833553,12.0466593237,12.1803123752,13.5064946012,12.5912106247,13.7014588379,13.4444608898,12.5237091092,12.5080247741,13.0030233138
26,46,Oregon,27,14.7446439865,14.7308501869,14.9892252645,16.7280033549,17.1383819641,15.9951408515,16.5380185433,15.9426367365,15.3806672386,15.6275869871,14.2518604771,14.0067049069,12.635046856,12.6064907667,12.7718478936,13.5198910755,13.0875855957,13.7515365727,12.4069860572,11.6204294967,12.2650710904,11.8627136324,10.4991702009,11.5590973704,10.0826439516,10.1485950873,10.7673199721,10.9706022055,11.5323407532,11.5199577345,10.9532483533,11.0178158191,11.4931508369,11.2031659888,12.129920375,12.9615258887,11.4030649835,12.5680408521,11.7033960342,11.2602613107,12.3392571797,11.8991446986,12.2763183311,13.1158487925,12.3996053055,12.9458533961,14.24100162,14.7024626146,13.814222895,13.6455400421,12.6393261598,12.7653012802,12.8608205312,12.1015556248,12.4492345922,10.7074157077,10.6133616202,10.9351691061,10.8869955053,11.551091476,11.5921577569,11.2121076891,10.8247524273,11.1514324833,10.3790426104,10.8944036876,9.86465584002,9.94216947582,10.3195801234,10.805998264,10.7120423639,11.7865906728,11.0550454014,10.1234183107,11.306995026,10.6353704106,9.77491001719,10.3040250973,9.8196199325,9.84026489989,11.3786584699,12.3689345568,12.5570934499,14.2823483428,13.714298352,13.7513934867,13.5288898514,11.4516840078,12.0985183249,12.1004559767
27,45,Oklahoma,28,12.0086722524,11.5937440534,11.6903486668,12.6110448881,12.2315138859,10.9464623712,12.9367818672,12.8286910981,11.8840734463,14.1183367718,13.2286889079,12.5020316996,11.738399088,11.9614078396,12.626814195,13.3088452366,11.9001099942,12.8969487247,11.914921871,11.4428492941,12.9700448629,12.205150847,12.1689928601,11.7068315039,12.1423150475,11.9404845017,12.2353709661,12.2447131729,12.4041599708,12.8182766472,12.5789088986,11.9766426525,12.520758059,11.3749113065,12.4885821287,13.8918332981,13.31475493,13.9536780951,13.5285030915,12.8697732773,13.6129345119,13.2579865146,13.3048815257,14.1089253066,14.0559364401,13.6225515594,14.8059258385,15.1122262843,14.5391241266,14.7376040171,12.6258183673,14.2497556532,14.5855743669,12.7671614762,12.8900619538,11.8538740928,11.9913355152,12.6817363716,13.1483274465,13.7139522263,13.3400185574,13.8485113223,13.3620537209,13.5593537328,13.3733876597,14.2152125265,13.7178392721,13.0878170528,13.0141669673,13.143311721,12.8265552485,14.2165631385,12.4317666443,10.7013133179,14.3931628367,13.6916337151,14.3887015103,14.8759368507,15.3179520499,14.9338274627,15.6088251623,16.8002230114,16.4277500479,17.461675295,16.052139256,17.1214714638,15.6871701795,14.0791151161,15.4789239433,15.4745187992
28,11,Connecticut,29,13.1395260871,13.4875492585,14.6610455028,14.7080187967,13.9528484098,13.5230355046,15.7069258581,14.8437074793,15.0077218472,16.1620481646,15.2966382513,14.9227693623,14.2075782408,14.0530999947,14.0746193689,15.145817154,15.0874460957,15.5770406746,15.8253976993,13.9732072679,13.6588887952,13.7578881499,13.0711827828,13.8615568814,13.2769272563,12.0819862349,13.6196026836,13.8591109406,14.3546743884,13.2525967798,13.351215603,12.9991781125,13.0658833344,12.8261173592,13.9493103709,14.9334976959,13.0700988705,15.909077398,14.7825215168,14.9436116223,15.3307611127,14.288971607,14.4933005448,14.7253384972,17.0179241127,16.0528035224,17.2811765162,17.473366473,16.6995715958,16.5027928891,14.2863037848,14.5857774718,14.5860102681,14.0835295374,13.4124263934,14.8673296205,15.7810737561,16.1795934565,17.1550510292,16.4802496505,16.8385318116,15.827569198,15.7291340408,16.0489740249,15.8433169931,16.3779881157,15.8891566998,16.0359544771,15.0278396015,15.7800620942,15.2368877935,16.5859553803,15.2695999302,14.0936957353,15.5913512855,14.7480012756,15.2263487633,16.0259857091,15.0741985365,14.7157231833,15.2100677032,15.1985905178,15.2764297917,15.8616276622,16.2918077477,16.8899182128,16.1531629234,15.1252787159,15.0265848818,16.1005616623
29,19,Iowa,30,11.9541542389,11.7200623099,11.9911799498,12.6473499803,12.0267480218,12.2671048904,13.3813137913,13.3090371264,13.0734113319,13.0355783962,12.078178072,12.6872418827,11.8445431675,11.2296474353,11.743435802,12.3064573387,11.7709622962,12.3968081836,12.2475648983,10.6947715672,11.3831731918,11.8189883493,11.1666011513,11.8139268438,10.9303567407,10.713512431,11.0296302918,10.9738484648,11.7160406335,10.7998370281,10.457088377,10.6328188785,10.7268587089,10.7372629671,11.9540801564,12.8153631931,12.0505196281,12.4062126956,12.0077194757,11.5758216727,12.4145969682,11.2181437789,10.8526525096,12.042007634,12.2478041798,12.8209003186,13.514633275,13.664794075,12.8027623385,13.4682109276,11.5310513286,11.9263498338,12.1304609444,12.0115773777,11.8596424197,10.7241009314,12.4818275348,12.3106349391,12.8119224021,12.9598428056,13.1364764797,12.9645735804,11.8062264726,11.9700342197,11.6344903511,11.3769031103,12.2885306132,11.3000455417,10.702873083,11.2596315509,11.0992184215,12.9841747708,11.1607409841,9.78571904177,12.3782598265,11.5467051239,12.2196943878,12.0515491523,11.7178535441,10.7027888257,10.6201476809,11.4210480236,11.0108197162,12.4427381132,10.8284653948,12.2689839927,11.9183264525,11.4414945878,11.8227448291,11.9787406366
30,34,Mississippi,31,10.8107272467,11.2149056847,10.7538881943,11.6491177,10.6184288441,10.5174564303,12.1040458702,11.2402044982,10.2402060089,11.4276774273,11.1072519169,10.5861760455,9.9036494046,9.81964287678,10.340437549,10.5371440761,9.72312975642,10.3261069021,10.1362356562,9.21167684199,10.9290737595,10.1911835136,9.81342334579,10.387236976,9.40098921104,10.2018261853,10.6275066757,10.0601051817,11.1454899601,10.5308150268,10.2948835673,10.4438559872,11.0600751596,10.7365616615,10.9373157963,11.6333286788,11.5050199547,11.8078822799,11.1375060501,11.3518285706,11.1386118418,11.191860556,10.5986123709,11.3205530893,11.3548045726,11.3230424342,12.5521449171,12.3513528163,11.9988612367,11.7992144431,10.9786892566,11.4411437515,11.7765067045,10.5793890031,10.9995132324,9.60595934264,11.1537465817,11.0206746744,11.6372097408,11.835547647,11.7607224318,11.5878543398,10.8645226796,11.7660122463,11.2395539451,11.9868002264,11.6661003875,11.5509143376,10.4685969203,11.318718606,11.1253333463,11.9511581684,11.1735262983,10.0580552717,11.4295227414,11.2636744112,11.5802163812,12.0833474312,11.9788581391,11.5287982844,12.0028525317,12.0350120941,11.8093496624,12.8687278602,12.0639223089,12.1753601307,12.5799937699,10.7862261358,11.8745278716,12.3014328681
32,23,Kansas,33,14.0082311994,13.9260725245,13.2949984465,14.402793219,14.3058593961,13.3846680935,15.2224974775,15.3692239721,14.9661373637,15.9012176263,14.6928558822,14.1704454365,13.6875099006,13.4362706932,13.2204755591,13.8685472577,14.0009586155,14.6863233578,14.0929359805,13.2902707918,13.3981558388,13.288672681,12.4681630375,13.5713778215,12.1833331074,12.2061771247,12.4906968632,12.7819211841,13.6637576912,12.8966333751,12.4984128952,12.2830707359,13.4412499154,13.0041948477,13.8443064768,14.4969096392,13.2198542995,14.6056772906,14.0026141144,13.7705108168,14.0680609246,13.3704488326,13.4379638815,14.174307334,14.301761895,14.5029041916,14.6040660335,15.688548329,15.1660611475,15.0783757401,14.7373496162,14.4272940569,14.4734052657,13.4937801699,13.367037692,12.4895075426,13.6254576992,12.9768677715,13.4102937895,13.5102542989,14.2274796207,13.9117324675,13.1180746899,13.6127087675,12.8888624193,13.7657350987,13.4100547295,12.9377236283,12.226166016,13.4057414775,13.5455918164,14.423162426,13.3796229314,12.152171101,14.2150304377,13.2854871507,13.5121158325,14.187028158,13.1854645034,12.47748561,13.5964283383,14.0001602284,13.9698789012,15.2427457171,13.2317970892,13.7482786612,13.946384579,12.9669836514,13.4217075975,13.4441572321
36,61,West Virginia,37,9.78808834418,9.38132621153,10.4811747983,10.2212746514,9.7369335935,10.1770940407,10.6821186692,10.7558203561,9.13807982853,9.47039399455,8.8198095797,8.97501079528,8.85263222596,8.86586761228,8.94388509652,9.60988753878,8.41868420779,9.66825857608,9.61038096472,8.52037840885,8.41454067593,9.33185813043,8.1639878774,9.24575335655,9.51308865012,8.64703030275,9.39472558007,9.8651383013,10.3079664667,9.94029574489,9.47654140062,9.19660379737,9.91708708902,9.33322680971,10.1575830613,10.6925186938,10.2753313007,10.651476553,10.7618744411,10.5701432574,10.3075813673,9.82451158741,9.74629805213,9.61419140351,11.327711104,10.4906552879,12.2436026081,11.7794903706,10.8497815441,11.6138711211,9.99880712325,10.4980059506,10.8330018199,9.53464370749,9.83901282572,10.4920044618,11.1534038904,11.0745475776,11.9984999627,11.9237391338,11.2003202825,11.759109101,11.6831493409,11.5046248233,11.0463155024,11.8948330036,12.6304098832,12.5983451483,11.6326513395,12.6894010375,12.3371851504,13.5148571274,11.8214375995,11.5635929687,11.9069242494,11.8915315727,12.6203327631,12.7462517833,12.9349415527,11.4545624725,13.0977917281,12.9904754002,12.3890543131,13.8985418527,12.6457145532,12.6174905729,12.0825984766,11.3697008329,11.9857379316,12.4977444611
39,18,Hawaii,40,11.0657357538,9.49675914581,10.0826830544,10.8687987156,10.6808812142,9.75912816213,9.79407866605,11.6628629849,10.5373989402,11.8977075043,11.6193374858,11.8460647923,12.2040755354,10.2939685058,9.4856306802,9.44547546349,8.63292394756,8.56862098337,7.34520458891,8.5465003594,7.15601130611,8.72436347791,7.10477151843,8.57435733084,6.72718367164,6.76645284549,7.45392023423,7.60277178045,6.70856076015,6.73051044221,6.99181028888,6.36454458873,6.2281012532,6.16618654609,6.66396735157,7.67729690216,6.46790072553,8.30840053268,8.33421029314,7.92707719509,7.99533553025,8.86499617224,8.77605447389,8.73343524983,9.02058378549,7.9914397991,9.68161133258,9.63216920566,9.38855365469,9.87633087512,9.47225405412,9.79861126233,9.75243712984,10.4257745581,10.1533059726,8.01441868575,10.2658462922,9.91085703268,9.8934555133,9.42200977197,8.58609335313,9.86875542832,9.62509829446,9.4910726189,10.743696462,8.94206896801,10.7270141013,9.55330875881,9.04775325795,9.00647720563,9.70649205676,10.036286003,9.765491315,9.5446302401,9.054514994,9.33258647228,9.34372584932,9.65803168207,10.1776100283,9.40171571998,9.74924960386,10.0140080179,9.83423697526,10.8298103684,9.78101547619,9.73533034068,10.2869042716,9.32005785023,10.0741262435,10.9588346349
