,RegionName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02
24,Louisiana,25,103.495145631,103.674327268,103.846153846,103.678929766,103.075396825,103.335056877,103.189315144,102.941176471,102.597010477,101.900826446,101.74873673,99.940285205,98.230958231,97.9511448825,99.1423670669,98.8955301455,99.5454545455,99.2413793103,99.5221026721,99.2662046474,99.2163009404,98.2941523209,98.1468918036,97.935607598,98.480585256,98.7959442332,99.4575045208,99.8081368356,98.8500263539,98.8696572239,98.825710754,97.7237048666,97.7272727273,97.6691729323,98.6419753086,98.6187845304,98.6160589319,98.6053530721,100.0,100.85370586,101.102941176,101.489028213,101.502189486,100.697674419,100.264970853,100.356218941,98.6655177366,99.2063492063,98.8089327091,100.308880309,100.563607085,101.79252479,102.127659574,102.163461538,102.181322427,103.997860396,103.896103896,103.971962617,104.47761194,104.175826634,105.255399702,105.929971581,106.509695291,107.118364809,107.710319091,107.989949749,107.670563654,107.272727273,107.268842269,106.771639577,107.585523054,107.650042976,108.744902583,111.027223805,112.5,114.03125,114.351057747,114.379084967,113.307523412,112.555201972,112.503908693,113.153635832,112.554112554,112.531712643,112.079378775,113.391196528,114.041439587,115.015974441,117.349803481,117.122395833,116.756393001,116.406440086,116.302257757,115.843270869,116.004296455,115.421796254,116.0,116.091438817
25,Kentucky,26,93.2524964337,93.1709763479,93.1258157729,93.0363118685,91.8710219236,91.3619744059,90.921495121,90.8181818182,90.7142857143,89.4590846047,89.0274132836,88.0952380952,87.4360907955,86.9529753883,87.8378378378,88.3909691328,89.4375650342,89.3133472887,88.8979591837,88.4091737724,87.6644736842,86.6666666667,85.62102718,83.9425391741,83.4445672355,83.900617284,84.7619047619,85.5551134103,85.6418583986,85.8406085866,85.3006681514,84.8853446814,84.1841385597,83.8318153541,87.5258803786,87.4305555556,87.4064679563,87.7930568344,88.5429852321,89.0826873385,89.7008547009,89.8674242424,90.0,89.4210526316,89.5916334661,89.312406577,88.7656033287,88.8668775136,88.7276785714,89.765625,90.9695099329,91.8884216251,92.2051282051,92.8018575851,92.5169753086,92.3293512996,92.141138733,91.9185282523,91.5677321157,91.2716080793,91.6355080627,92.3503325942,93.2343640197,94.4625407166,96.2407717664,96.3543303478,95.8712811172,95.301765683,95.9533607682,95.6984883396,95.3846153846,94.7402265051,94.6315789474,94.9667424465,96.3835616438,97.9519145147,98.7882653061,99.9654761905,100.50274223,99.9373433584,99.9374216792,100.071530758,100.0,98.5948477752,98.2755647013,99.6526270083,102.219626168,103.687106068,105.354970455,105.221257237,105.17427504,104.873251748,104.954034729,105.074441491,105.366588354,104.853479853,104.810126582,105.795042194
26,Oregon,27,149.05964204,147.766323024,147.816901408,147.010936728,145.50538554,144.718350038,143.809896986,142.567567568,141.023555711,136.909227307,134.030619758,130.590243218,125.569479037,123.661867848,125.069508804,121.015390716,121.325459318,121.910569106,123.287671233,124.21875,123.674911661,121.081713294,117.427543721,113.398464759,115.245904989,115.97661744,118.407265107,120.163934426,120.354124074,121.836925961,122.487591142,127.003257329,128.035956721,130.022321429,133.333333333,133.098591549,133.287658088,134.956605593,137.49298541,140.625,143.064985451,145.547945205,146.933987602,147.005658864,147.118332311,146.800501882,145.987654321,145.428015564,145.042194093,146.209232558,147.867950481,151.364998959,149.388878104,153.331872626,155.388664087,155.042467631,154.706253948,153.9408867,153.657037492,152.423618978,152.973266111,154.297917779,156.291883842,158.650634603,161.154345006,162.756626686,163.091353997,163.885372714,165.082407062,165.792134183,165.639371226,165.236051502,165.264423077,167.416994935,171.021254536,174.583333333,178.341211861,180.062111801,182.419698909,182.584269663,182.860263512,183.21826872,182.721712538,182.724100652,182.52516011,184.567901235,188.386225523,192.58206635,195.861305319,198.822463768,200.0,199.157867762,199.995833333,200.732317218,200.266837628,200.501972614,200.0,203.037994155
27,Oklahoma,28,85.4139290407,85.7142857143,85.8672167336,85.9073359073,85.9207628491,85.6860158311,85.1237270766,84.7167284484,84.2447617905,84.0909090909,83.7724550898,82.6959247649,81.7154255319,81.0434205171,81.8452380952,82.0910290237,82.636085017,81.9471624266,81.2681510165,80.4169769173,80.0480769231,78.9902690934,78.123802682,77.5261324042,77.245508982,78.4139100933,80.1905717151,79.5644891122,80.6431273644,81.060787152,79.5279650932,79.5297372061,78.4180434299,78.4632034632,84.1447368421,83.912611718,83.8865419433,84.4827586207,84.620596206,85.3912213556,85.6491603802,86.2859524802,85.629531971,85.3266331658,85.4284798002,85.8171745152,85.1531380012,85.432483761,85.4316546763,86.2636457284,86.9565217391,87.7403846154,88.5623869801,88.5879218472,88.7035462616,88.8126907528,88.5416666667,87.8787878788,88.5267043375,88.3553914838,89.3382352941,90.1371652515,90.4634581105,90.8638445868,91.5750915751,91.9931856899,92.0853354236,92.0,92.6315789474,92.209634227,92.5100444432,92.523364486,93.0568948891,92.2274240512,93.9086294416,94.9753937008,95.4451813649,95.9944751381,96.3000506842,95.8219178082,96.1538461538,96.2732919255,96.8560476856,96.9273857883,96.5850515464,96.5779467681,97.1638655462,98.0784955029,98.3989326217,98.3820400407,99.0099009901,98.1262327416,98.901324291,98.6332574032,99.0899898888,97.7568710281,98.3846284046,99.2135511192
28,Connecticut,29,177.027799228,177.884615385,179.200741038,178.040123871,177.899443444,177.721088435,175.756649343,174.893004115,171.818181818,171.056547619,169.482475527,167.785668173,167.938931298,168.233082707,169.382815651,169.387755102,170.176780521,169.152157058,167.389162562,165.307692308,163.69047619,161.852331606,160.624551328,159.3125,158.369842396,159.432432432,160.097493036,160.967293938,161.984644779,161.308980213,159.812568908,158.023715415,158.188291139,157.255244755,156.618125232,154.587628866,153.941643927,156.461389917,158.864541833,161.974683544,163.547120419,163.522012579,161.985874533,160.656310502,160.376235964,159.221337431,157.579062159,156.488160128,155.497925311,157.071428571,159.846547315,162.652563059,163.303571429,163.6153008,162.767740328,161.059136663,160.444227357,159.594311938,157.793647026,156.25,156.41627543,157.735522904,160.049534311,162.44375,162.459283388,162.879788639,162.355956383,160.335295167,161.166429587,160.410447761,159.610472542,158.556043079,158.333333333,160.642919201,163.316993464,165.669808032,166.444462836,167.183729748,166.5625,165.620641562,165.88761553,165.625,165.429338104,164.625273838,164.012594839,166.135734072,168.572941778,170.978550168,172.689830661,172.452830189,171.684826824,169.368131868,169.686259882,168.715719843,167.771084337,166.619047619,166.587301587,169.022496924
29,Iowa,30,106.389933166,106.403622251,107.698229407,108.438818565,108.110544439,107.349716202,107.050162338,105.960075144,104.588394062,104.316546763,103.094910591,101.167315175,100.305410122,99.2172600252,101.214574899,101.221264368,102.313167456,102.225378788,100.935307872,100.351405622,98.8541666667,98.5221674877,97.3511276684,95.6258998119,95.857555691,96.8013468013,98.231827112,99.4333593622,100.284090909,100.094294704,99.6675531915,99.0445859873,98.3965014577,98.2142857143,100.322946215,99.6640967782,99.3098159509,99.7566909976,101.600346021,103.114186851,104.21286031,104.166666667,103.612716763,103.08231899,102.303262956,102.335164835,100.773888965,101.195935668,100.998239796,102.614379085,105.222672065,106.816239316,108.173076923,109.032532007,107.625974977,107.571988691,106.44575042,105.821230131,106.539795685,105.46678706,106.433469608,108.574879227,111.234817814,113.036607143,117.46680286,117.952336339,117.418066351,115.925058548,114.865900383,114.506769826,114.285714286,113.224637681,114.689578714,116.571022976,117.730210016,119.791666667,120.449678801,122.189455645,121.858124487,120.919432624,120.660869565,120.216836735,118.051217989,117.439038786,118.810810811,121.302758391,123.6328125,126.306620209,128.162660256,128.721374046,127.994252431,126.779422128,125.371865703,124.913690476,124.903846154,124.590639062,126.325524044,127.950089127
30,Mississippi,31,90.4545454545,90.5625,90.1931077625,89.9621212121,89.8096004291,88.8918837975,88.1469229676,87.4269669192,86.2198795181,85.3260869565,84.96875,84.032916373,83.0150943992,82.3878318017,83.4150184258,83.3333333333,84.1293166789,84.5061815889,84.0108401084,83.6038961039,83.0642667806,82.31449728,81.4440290879,81.1759084905,81.0698448437,80.7711341559,81.6208370256,80.9874723655,80.6379382597,80.8538163001,80.2341137124,80.106273003,80.1005968993,80.2524797115,81.5054116104,80.9257655774,81.1573747354,81.266923766,81.312335958,81.6518250728,81.9948790151,82.2017458778,82.7337685929,82.4374667376,82.02130184,82.2054168602,81.6637630662,82.0489204665,81.6897984441,81.8181818182,82.7501232134,83.4900174015,83.8613492359,84.0941854877,83.8709677419,84.0517241379,83.8762470454,83.25,82.9369469027,82.0044558766,82.8405017921,83.9316177095,84.3699296917,84.9479022591,85.6003752345,85.4273504274,85.2606635071,85.2606635071,86.0525182953,85.4960833019,84.9294679069,84.1274862917,83.981092437,83.8078432782,84.9600417121,86.0726294824,86.9349230005,87.430389817,87.4704491726,87.1517598591,86.2158561781,86.1643835616,86.0546183644,85.7387886561,85.7492854226,86.635325722,88.9329493486,90.1771336554,91.0886075949,91.261732623,91.153216042,90.9658665446,90.6792629305,91.2376779847,90.5992368651,90.781069216,91.1613158938,91.1726752435
32,Kansas,33,98.5042646386,98.4090909091,98.7719325616,99.6455690403,98.4087102178,98.5902255639,98.0754996299,97.9166666667,97.6104830421,96.6092280883,95.3970211988,93.1406236386,91.6193181818,90.5213325346,93.0321689272,95.2841371394,96.8627916799,96.6865017624,95.6008921255,94.9023861171,93.4361413043,91.7173607861,89.5739970124,86.9723435226,86.6200627222,88.092345079,89.7860754226,91.5790286499,91.2709152222,89.0112608143,86.9142957125,85.3166986564,83.5190343547,83.3333333333,88.0281690141,86.7087655396,86.4198813413,87.685560054,89.9965473079,92.0138888889,92.7704716265,93.0994740708,92.6733562623,92.0506912442,91.8194774347,90.62687446,89.2406275042,88.9848624864,88.5841363973,90.0809716599,92.4050632911,95.0987564009,97.5313135163,96.8468468468,96.09030837,94.4946589975,93.5121646912,92.6517571885,92.2619047619,91.3451199338,92.1149594694,93.4968805704,99.1071428571,102.739726027,105.780456362,105.335477986,103.151862464,100.191225672,100.334634795,100.144092219,98.2080924855,96.7048710602,95.2264496619,97.2622478386,100.363212141,103.018639776,103.542780749,104.545454545,103.745318352,101.28058104,100.513672817,100.0,98.9543203082,96.6666666667,96.6592261905,99.0099009901,104.171806167,107.719412782,110.394265233,110.69986541,109.375,107.586206897,109.24796748,109.273781447,107.597716293,105.0,104.166666667,105.937136205
36,West Virginia,37,89.449790669,89.25,89.4886363636,88.694954211,88.8468047746,88.7777777778,88.3487654321,89.247311828,89.4845754352,88.6868272213,87.4505928854,86.8795289855,85.9446674312,85.6822936299,86.7828612927,87.1287128713,87.5395548404,88.4895833333,88.0180549856,87.3634377276,86.5452930728,85.9213250518,85.0542116654,84.2576791809,84.706959707,84.9767654626,85.8175248419,85.5919003115,85.9677419355,86.25,85.6817690391,85.056876939,84.6740324605,84.5432586737,84.811717492,84.8096810657,84.8516417114,85.3846153846,86.4631043257,87.7777777778,88.4375,88.1764705882,88.4797146367,88.0505799561,86.5034244489,85.8174245054,84.0940181569,85.7534592595,85.5654761905,86.1558554636,87.4541666667,88.8513118607,89.0781933868,89.8980968858,89.4736842105,89.4682470639,89.2477031573,88.7784090909,89.0909090909,88.6693548387,88.3673469388,88.9880952381,89.4085281981,90.4847103274,91.8043202033,91.3594386607,90.438034188,90.0826446281,90.6533575318,90.9864577461,90.9285909286,90.7169117647,90.0648794401,89.6194785759,91.4154543286,92.5,92.8839318445,93.2603174603,92.0506912442,91.3705583756,91.1458333333,90.5747372433,90.4132061677,89.3316195373,89.0640052987,89.7099447514,90.3192457737,91.1928658325,91.8209876543,91.7842859738,91.6979362101,91.25,90.9587378641,90.8263147797,90.7019143118,89.6670124806,89.2857142857,89.6226415094
39,Hawaii,40,397.245762712,394.027973999,387.797311272,393.423883808,396.980406746,396.119644301,394.361890673,381.589198198,387.283236994,376.331922347,362.802668129,358.309993666,357.398596393,345.937248592,350.0,344.279661017,345.501955671,351.239669421,357.166149068,363.924050633,361.186011604,355.998576006,349.448499594,352.509870276,353.658536585,364.181662382,358.189044449,363.714578728,337.906498896,342.842049657,330.056360709,338.855421687,335.834029906,335.303326582,364.683301344,368.468313753,377.155172414,381.513647643,379.824177167,384.931239491,378.1148857,373.920969263,386.424731183,387.888905237,394.557429589,394.219723079,401.891252955,407.954545455,409.536778357,412.350780533,411.048727372,418.660287081,422.195416164,415.833333333,418.122009569,422.834912043,421.836228288,414.0625,423.076923077,429.113924051,435.786200107,438.235294118,437.26554852,447.865640308,429.333399709,444.444444444,446.497713696,451.306413302,450.268817204,451.515151515,456.836798992,436.378466558,451.904321296,433.296460177,455.568720379,461.028924707,462.340672074,463.613550816,460.883036406,459.104938272,466.33974359,467.657342657,469.223872362,461.459138953,485.294117647,484.63356974,481.28342246,483.957389992,487.212192569,486.091794159,490.196078431,494.267387944,493.20181285,493.788819876,500.440528634,507.8125,511.686996656,510.294117647
