"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02"
"New Jersey",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269000,268000,270000,279000,284900,289900,289900,289000,285000,283900,280000,279000,275000,269900,275000,284500,295000,299000,299000,299000,295000,295000,289900,285000,279000,275000,279900,286400,295000,298500,299000,3e+05,299000,299000,290000,288888,279000,274900,278900,288000,299000,299900,299900,299800,295000,295000,289900,280500,275000,272000,275000,289000,299000,299900,3e+05,299999,299000,299000,299000,289900,279900,275000,285000
"Virginia",12,230000,231000,234950,235000,234900,232000,230000,229900,235000,229900,224900,219000,210000,212900,219999,224900,229000,229900,227500,225000,224900,219000,209900,199900,199900,2e+05,209900,215000,219900,219900,217925,214900,206990,209900,227300,225000,225000,229900,235000,245000,249500,249900,249000,245000,244925,240000,237000,235000,235000,238715,249000,259000,264950,265640,265000,264900,264779,259900,258000,249950,249883,255000,265000,274999,279500,279900,270000,274900,274990,274900,269900,267900,264900,259900,275000,287500,289900,289900,286900,279990,279900,279000,274999,269900,269000,275000,289000,299000,299950,299999,299900,295450,298950,299000,297500,289000,289000,294900
"Washington",13,259900,259000,260000,257500,250000,250000,254000,250000,254950,239900,229950,224990,215000,212000,217990,214950,219000,219900,219900,220499.5,219900,214950,209500,199990,199950,205000,211900,214995,219000,219950,219777,215000,214900,209000,239000,235000,234950,239000,243925,249800,257000,260000,265000,264536.5,265000,265000,257500,255000,249900,250000,259950,269000,274950,279500,279900,279950,279900,275050,265000,249950,259900,269900,276000,284900,289900,291500,289950,295000,294500,290990,289900,285900,284950,285000,289900,299000,304500,314900,315000,315000,315000,315000,314900,309000,305192,315000,329000,338950,349000,350000,350000,350000,350000,350000,350000,349950,349000,359000
"Massachusetts",14,289900,304900,299900,299900,299900,299000,299000,299000,299900,299900,299000,289900,289900,299000,299900,299900,309000,309900,299900,299900,299000,290000,275900,269500,269900,269900,279900,289900,295000,295000,289900,284900,285500,289000,319900,315000,314900,324900,329900,339900,349000,349900,349000,339900,339900,339900,339900,335900,329900,344000,349000,349900,359000,354900,349900,349000,349000,349900,349900,342500,339900,344900,349900,359000,360000,365000,359900,359000,359900,359900,359900,350000,350000,359900,379000,389900,395000,398900,389900,385000,389900,395000,389986.5,385000,379900,389900,409900,424900,429000,429000,424900,419000,419999.5,420000,419900,415000,414900,419900
"Indiana",15,124900,125000,127000,126900,126900,125900,124900,124900,125000,124900,123773.5,119900,119900,119900,124900,125000,128900,129900,129900,127500,125000,124900,119900,114900,114000,114000,114900,116900,118500,118000,117500,115000,114500,112900,122900,120000,119900,123500,126000,129900,129900,131000,129999,129900,129900,129900,125000,124900,124900,125000,129900,134900,138000,139900,139900,138900,135900,134900,132900,129900,129900,133000,136900,139000,139900,139900,139900,138500,139000,135000,135000,130000,130000,131000,135000,139900,142900,144999,145000,142925,141300,141933.5,140000,139900,139900,142000,149999,159900,164900,165000,166500,164900,167900,167000,164900,163900,164900,167400
"Arizona",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214900,215000,214950,217500,220000,224990,226900,226000,225000,225000,225990,228000,224900,221990,227396.5,232000,237000,239900,245000,245000,239900,245000,245000,249000,249899,248900,249147,249000,249900,254000,255000,257990,255000,254521.5,255000,255000,255000,255000,255900,259900,260000,267485,269842,269000,269000,269000,269900,269999,270000,270000,272000,275000
"Tennessee",17,159900,159000,156900,155000,154900,154900,154900,154900,163900,159900,159000,154000,149900,149000,149900,154550,156900,155000,154921,154000,149900,149900,141385,134900,133900,133700,134900,139900,139900,139000,139900,139900,129900,132900,155000,154700,154900,158000,159900,164500,167500,169000,169000,165900,165500,165157.5,164900,164900,162900,164900,169000,169900,174900,174900,174900,174900,173500,173500,169900,169900,169900,174900,170000,176000,183900,184992,185000,184792.5,184900,179900,179900,179900,179900,179900,180350,189900,194900,196900,199900,199500,199500,199500,199500,199000,195990,199900,208900,214900,219900,223450,224946,224900,225000,225000,225000,224900,225000,225900
"Missouri",18,140000,141900,140000,140000,139900,139900,139900,139900,144900,142500,139900,137500,130900,130000,135000,139000,139900,139900,139900,139000,135900,134900,129900,128000,129900,126900,128449.5,129900,130000,129900,128900,127000,125000,125000,134900,129900,129900,132000,135000,139900,139950,139950,139900,139900,139900,139000,135000,134900,134900,135900,139900,141900,145850,145000,145000,143900,143000,140000,139900,138900,138500,139900,144900,149000,149900,149000,147900,145000,145000,144900,144500,139900,139900,142000,149000,153900,155000,155000,154900,153500,152000,152000,150000,149900,149900,152000,159800,164900,168900,169900,169900,169900,169900,169000,166900,165000,164900,165900
"Maryland",19,245000,245900,245000,249000,243900,239900,234900,229900,239700,237500,236500,225710,222000,222000,229000,230000,239000,239900,239900,239900,239000,235000,229402,228724.5,225000,229259.5,229900,225000,214500,239900,239900,239000,234500,234900,249000,239900,240000,245000,250000,259900,269000,272900,269990,269000,269900,269900,260000,269000,259000,259900,269000,275000,281118,284900,280000,279000,279000,274900,269000,259900,257000,259900,269000,274900,279632,279900,274900,275000,279780,274900,269900,264900,262999,260000,274900,285000,289900,289900,289000,284900,285000,289000,285000,275000,274900,279900,291407,299900,309000,307416.5,309000,3e+05,303000,3e+05,299900,297000,291214,295900
"Wisconsin",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149000,149900,152650,155000,159900,160000,164900,164900,162500,159900,159900,158000,155000,152950,154900,159900,161000,165000,169900,169900,169800,169000,166900,164900,159900,159900,164500,167000,169900,172900,174900,174900,174500,174900,171900,169900,169900,169900,169900,173900,178000,179900,184500,184900,183900,179900,179900,179900,178500,175000,179900,184900,189900,194900,199500,198000,196000,194900,193500,189900,189900,194444,199000
